Article,Current Form,Proposals by Political Parties,Political Party,Rationale,Proposal Type,Joint,Partner,Contributor,Commission’s Proposals,Part
অনুচ্ছেদ ১৩ (মালিকানার নীতি),,"“১৩(ঘ) সমষ্টিগত মালিকানা, অর্থাৎ গ্রাম, মৌজা, সার্কেল ও অন্যান্য পর্যায়ে বংশপরম্পরাগতভাবে প্রচলিত প্রথা ও রীতিনীতি ভিত্তিক পার্বত্য চট্টগ্রামের পাহাড়ি জাতিসত্তাসহ সংখ্যালঘু জাতি বা জনগোষ্ঠীসমূহের সামষ্টিক মালিকানা।”",ইউনাইটেড পিপল্‌স ডেমোক্রেটিক ফ্রন্ট (ইউপিডিএফ),,Amendment,No,,Nazmul,,দ্বিতীয় ভাগ (রাষ্ট্র পরিচালনার মূলনীতি)
অনুচ্ছেদ ১৪ (কৃষক ও শ্রমিকের মুক্তি),১৪। রাষ্ট্রের অন্যতম মৌলিক দায়িত্ব হইবে মেহনতী মানুষকে - কৃষক ও শ্রমিককে - এবং জনগণের অনগ্রসর অংশসমূহকে সকল প্রকার শোষণ হইতে মুক্তি দান অনুচ্ছেদ ১৫ (মৌলিক প্রয়োজনের ব্যবস্থা) করা।,অপরিবর্তিত,রাষ্ট্র সংস্কার আন্দোলন,,Amendment,No,,Nazmul,"কমিশন সুপারিশ করছে যে, বিদ্যমান সংবিধানের অনুচ্ছেদ ১৩ (মালিকানার নীতি), ১৫ (মৌলিক প্রয়োজনের ব্যবস্থা), ১৭ (অবতৈনিক ও বাধ্যতামূলক শিক্ষা), ১৮ (জনস্বাস্থ্য ও নৈতিকতা), ১৮ক (পরিবেশ ও জীববৈচিত্র্য সংরক্ষণ এবং উন্নয়ন), ১৯ (সুযোগের সমতা), ২০ (অধিকার ও কর্তব্যরূপে কর্ম), ২৩ (জাতীয় সংস্কৃতি), ২৩ক (উপজাতি, ক্ষুদ্র জাতিসত্তা, নৃ - গোষ্ঠী ও সম্প্রদায়ের সংস্কৃতি) এবং ২৪ (জাতীয় স্মৃতিনিদর্শন প্রভৃতি) বিলুপ্ত করা হোক। এই বিধানগুলো প্রস্তাবিত ‘মৌলিক অধিকার ও স্বাধীনতা' শিরোনামের অধীনে বলবৎযোগ্য অধিকার হিসেবে অন্তর্ভুক্ত করা হয়েছে। উপরোক্ত সুপারিশের পরিপ্রেক্ষিতে সংবিধানের দ্বিতীয় ভাগের অনুচ্ছেদ ১১, ১৪, ১৬, ২১, ২২ ও ২৫ তাদের বর্তমান রূপে সংবিধানের পুনর্বিন্যস্ত প্রথম ভাগে অন্তর্ভুক্ত করার সুপারিশ করা হলো।",দ্বিতীয় ভাগ (রাষ্ট্র পরিচালনার মূলনীতি)
অনুচ্ছেদ ১৪ (কৃষক ও শ্রমিকের মুক্তি),,"“রাষ্ট্রের অন্যতম মৌলিক দায়িত্ব হইবে মেহনতী মানুষকে - কৃষক, শ্রমিক, পার্বত্য চট্টগ্রামের পাহাড়ি জাতিসত্তাসহ সংখ্যালঘু জাতি বা জনগোষ্ঠীসমূহকে - এবং জনগণের অনগ্রসর অংশসমূহকে সকল প্রকার শোষণ হইতে মুক্তি দান করা।”",ইউনাইটেড পিপল্‌স ডেমোক্রেটিক ফ্রন্ট (ইউপিডিএফ),,Amendment,No,,Nazmul,,দ্বিতীয় ভাগ (রাষ্ট্র পরিচালনার মূলনীতি)
অনুচ্ছেদ ১৫ (মৌলিক প্রয়োজনের ব্যবস্থা),"১৫। রাষ্ট্রের অন্যতম মৌলিক দায়িত্ব হইবে পরিকল্পিত অর্থনৈতিক বিকাশের মাধ্যমে উৎপাদনশক্তির ক্রমবৃদ্ধিসাধন এবং জনগণের জীবনযাত্রার বস্তুগত ও সংস্কৃতিগত মানের দৃঢ় উন্নতিসাধন, যাহাতে নাগরিকদের জন্য নিম্নলিখিত বিষয়সমূহ অর্জন নিশ্চিত করা যায়: (ক) অন্ন, বস্ত্র, আশ্রয়, শিক্ষা ও চিকিৎসাসহ জীবনধারণের মৌলিক উপকরণের ব্যবস্থা; (খ) কর্মের অধিকার, অর্থাৎ কর্মের গুণ ও পরিমাণ বিবেচনা করিয়া যুক্তিসঙ্গত মজুরীর বিনিময়ে কর্মসংস্থানের নিশ্চয়তার অধিকার; (গ) যুক্তিসঙ্গত বিশ্রাম, বিনোদন ও অবকাশের অধিকার; এবং (ঘ) সামাজিক নিরাপত্তার অধিকার, অর্থাৎ বেকারত্ব, ব্যাধি বা পঙ্গুত্বজনিত কিংবা বৈধব্য, মাতাপিতৃহীনতা বা বার্ধক্যজনিত কিংবা অনুরূপ অন্যান্য পরিস্থিতিজনিত আয়ত্তাতীত কারণে অভাবগ্রস্ততার ক্ষেত্রে সরকারী সাহায্যলাভের অধিকার।",কাজের অধিকার ও মৌলিক আধিকার হিসেবে স্বীকৃতি,বাংলাদেশের বিপ্লবী কমিউনিস্ট লীগ,,Amendment,No,,Nazmul,"কমিশন সুপারিশ করছে যে, বিদ্যমান সংবিধানের অনুচ্ছেদ ১৩ (মালিকানার নীতি), ১৫ (মৌলিক প্রয়োজনের ব্যবস্থা), ১৭ (অবতৈনিক ও বাধ্যতামূলক শিক্ষা), ১৮ (জনস্বাস্থ্য ও নৈতিকতা), ১৮ক (পরিবেশ ও জীববৈচিত্র্য সংরক্ষণ এবং উন্নয়ন), ১৯ (সুযোগের সমতা), ২০ (অধিকার ও কর্তব্যরূপে কর্ম), ২৩ (জাতীয় সংস্কৃতি), ২৩ক (উপজাতি, ক্ষুদ্র জাতিসত্তা, নৃ - গোষ্ঠী ও সম্প্রদায়ের সংস্কৃতি) এবং ২৪ (জাতীয় স্মৃতিনিদর্শন প্রভৃতি) বিলুপ্ত করা হোক। এই বিধানগুলো প্রস্তাবিত ‘মৌলিক অধিকার ও স্বাধীনতা' শিরোনামের অধীনে বলবৎযোগ্য অধিকার হিসেবে অন্তর্ভুক্ত করা হয়েছে। উপরোক্ত সুপারিশের পরিপ্রেক্ষিতে সংবিধানের দ্বিতীয় ভাগের অনুচ্ছেদ ১১, ১৪, ১৬, ২১, ২২ ও ২৫ তাদের বর্তমান রূপে সংবিধানের পুনর্বিন্যস্ত প্রথম ভাগে অন্তর্ভুক্ত করার সুপারিশ করা হলো। - - - - - মৌলিক অধিকার ও স্বাধীনতা ১৯. কমিশন সুপারিশ করছে যে, শিক্ষার অধিকারকে বলবৎযোগ্য সাংবিধানিক অধিকার হিসেবে ঘোষণা করা হোক। রাষ্ট্রকে অবশ্যই আইন দ্বারা নির্ধারিত পর্যায় পর্যন্ত সকলের জন্য অবৈতনিক ও বাধ্যতামূলক শিক্ষা নিশ্চিত করতে হবে। এ ছাড়া ব্যক্তিগত যোগ্যতার ভিত্তিতে উচ্চশিক্ষার সুযোগ এবং বিশেষভাবে সক্ষম শিশুদের জন্য অন্তর্ভুক্তিমূলক শিক্ষার ব্যবস্থা করতে হবে, যাতে শিক্ষা সবার জন্য সমান সুযোগ সৃষ্টি করে। ২০. কমিশন সুপারিশ করছে যে, সংবিধানে রাষ্ট্রের বিদ্যমান সামর্থ্য ও সম্পদের আওতায় একটি বলবৎযোগ্য স্বাস্থ্য অধিকার অন্তর্ভুক্ত করা হোক। রাষ্ট্রকে কোনো ব্যতিক্রম ছাড়াই সকল নাগরিকের জন্য জরুরি চিকিৎসা নিশ্চিত করতে হবে। ২১. কমিশন সুপারিশ করছে যে, যথাযথ, নিরাপদ এবং পুষ্টিকর খাদ্য, পরিষ্কার ও পানযোগ্য পানি এবং পয়োনিষ্কাশনের অধিকার রাষ্ট্রের সামর্থ্য এবং বিদ্যমান সম্পদের আওতায় বলবৎযোগ্য অধিকার হিসেবে সংবিধানে অন্তর্ভুক্ত করা হোক। ২২. কমিশন সুপারিশ করছে যে, রাষ্ট্রের সামর্থ্য ও বিদ্যমান সম্পদের আওতায় বাসস্থানের অধিকার বলবৎযোগ্য করা হোক, যাতে যথাযথ, নিরাপদ, মর্যাদাপূর্ণ এবং স্বাস্থ্যকর বাসস্থানের ব্যবস্থা নিশ্চিত হয়। ২৩. কমিশন সুপারিশ করছে যে, সংবিধানে ভোক্তা - সুরক্ষার অধিকারকে স্বীকৃতি প্রদান করা হোক। ২৪. কমিশন সুপারিশ করছে যে, বেকারত্ব, মাতৃত্ব, অসুস্থতা, প্রতিবন্ধিতা, বার্ধক্য এবং এতিম হওয়ার মতো পরিস্থিতিতে রাষ্ট্রের সামর্থ্য ও বিদ্যমান সম্পদের আওতায় সামাজিক নিরাপত্তার অধিকারকে বলবৎযোগ্য অধিকার হিসেবে স্বীকৃতি দেওয়া হোক । ২৫. কমিশন সুপারিশ করছে যে, ন্যূনতম ও ন্যায্য মজুরিসহ নিরাপদ ও স্বাস্থ্যকর কর্মপরিবেশের মাধ্যমে সম্মানজনক ও সুরক্ষিত কাজের অধিকারকে বলবৎযোগ্য করা হোক।",দ্বিতীয় ভাগ (রাষ্ট্র পরিচালনার মূলনীতি)
অনুচ্ছেদ ১৫ (মৌলিক প্রয়োজনের ব্যবস্থা),,"পরিকল্পিত অর্থনৈতিক বিকাশের লক্ষ্যে সুপারিশ ক. উৎপাদন শক্তির ক্রমবৃদ্ধিসাধন করে জনগণের জীবন মান উন্নয়ন নিশ্চিত করা। খ. প্রত্যেক নাগরিকের জন্য অন্ন, বস্ত্র, আশ্রয়, শিক্ষা এবং চিকিৎসা নিশ্চিত ও বাধ্যতামূলক করা। গ. নগর ও গ্রামের জীবন যাত্রার মানসহ সকল ক্ষেত্রে ক্রমাগত মানুষে মানুষে বৈষম্য দূর করা। ঘ. রাষ্ট্রের অন্যতম মৌলিক দায়িত্ব হবে কৃষক শ্রমিক ও অনগ্রসর জনগোষ্ঠীকে সকল প্রকার শোষণ থেকে মুক্তি নিশ্চিত করা। ঙ. সকল ট্রেড ইউনিয়ন এবং কর্ম - পেশার এসোসিয়েশন - এর প্রতিনিধি নিয়ে ৯০০ (নয়শো) সদস্য বিশিষ্ট ‘জাতীয় অর্থনৈতিক কাউন্সিল - NEC গঠন করতে হবে। চ. ‘জাতীয় অর্থনৈতিক কাউন্সিল' - এর বার্ষিক বাজেট প্রণয়নে জাতীয় সংসদে সুপারিশ পাঠাবে। ছ. জাতীয় পর্যায়ের যে কোনো আর্থিক পলিসি বিষয়ে NEC জাতীয় সংসদে সুপারিশ পাঠাতে পারবে। জ. যে কোনো বিদেশি পুঁজি বিনিয়োগের সম্ভাব্যতা ও যৌক্তিকতার বিষয় NEC - তে আলোচনা করতে হবে।",জাতীয় সমাজতান্ত্রিক দল (জেএসডি),,Amendment,No,,Nazmul,,দ্বিতীয় ভাগ (রাষ্ট্র পরিচালনার মূলনীতি)
অনুচ্ছেদ ১৫ (মৌলিক প্রয়োজনের ব্যবস্থা),,ক) রাষ্ট্র পরিচালনার মূলনীতি সমূহ ও তৎসহ অন্যান্য নীতিসমূহকে আদালতের মাধ্যমে বলবৎ যোগ্য বলিয়া গণ্য করিবে। খ) নাগরিকের মৌলিক অধিকার নিশ্চিত করার কাজে অঙ্গীকারাবদ্ধ হইবে । গ) সকল প্রকার বৈষম্যমূলক ব্যবস্থার অবসানকল্পে নাগরিকের পাশে সশ্রদ্ধ চিত্তে দাঁড়াইবে । ঘ) সকল প্রকার শোষণমূলক ব্যবস্থা ও সহায়ক রীতি নীতির অবসান ঘটাইয়া শোষণমুক্ত ইনসাফ জনকল্যাণ মূলক রাস্ট্র ব্যবস্থা প্রবর্তন ও উহার সুরক্ষা প্রদানকে সার্বক্ষণিক কর্তব্য বলিয়া গণ্য করিবে। ঙ) সকল রাজনৈতিক দলসমূহকে সুস্থধারার রাজনৈতিক সংস্কৃতি গড়িয়া তুলিতে সর্বপ্রকারের পৃষ্ঠপোষকতা প্রদান করিবে । চ) বিভিন্ন পেশাজীবী গোষ্ঠী ও নাগরিক সংগঠণকে নিরপেক্ষতা ও পেশাদারিত্ব বজায় রেখে নির্বাহী বিভাগ এর জবাবদিহিতা নিশ্চিত করার সহায়ক সব পরিবেশ সৃষ্টি ও বজায় রাখিতে সহযোগিতা করিবে।,বাংলাদেশ লেবার পার্টি,,Amendment,No,,Nazmul,,দ্বিতীয় ভাগ (রাষ্ট্র পরিচালনার মূলনীতি)
অনুচ্ছেদ ১৫ (মৌলিক প্রয়োজনের ব্যবস্থা),,মৌলিক চাহিদা রাষ্ট্রপরিচালনার মূলনীতি হিসাবে থাকার কোন প্রয়োজন নেই। যেহেতু এটার প্রয়োগযোগ্যতা নেই তাই সংবিধানে এগুলার অবস্থান অপ্রয়োজনীয়।,বাংলাদেশ জামায়াতে ইসলামী,এটার প্রয়োজনীয়তা নেই। তাই সংবিধানে এগুলোর অবস্থান অপ্রয়োজনীয়।,Amendment,No,,Nazmul,,দ্বিতীয় ভাগ (রাষ্ট্র পরিচালনার মূলনীতি)
অনুচ্ছেদ ১৫ (মৌলিক প্রয়োজনের ব্যবস্থা),,"অন্ন, বস্ত্ৰ, শিক্ষা, চিকিৎসা, বাসস্থান ও কর্মসংস্থানকে মৌলিক মানবাধিকার হিসাবে স্বীকৃতি দিয়ে রাষ্ট্র কর্তৃক তা বাস্তবায়নে বাধ্যবাধকতার আইনী কাঠামো প্রণয়ন করা দরকার।",বাংলাদেশের বিপ্লবী ওয়ার্কার্স পার্টি,,Amendment,No,,Nazmul,,দ্বিতীয় ভাগ (রাষ্ট্র পরিচালনার মূলনীতি)
অনুচ্ছেদ ১৫ (মৌলিক প্রয়োজনের ব্যবস্থা),,জীবন ধারনের মৌলিক উপকরণের নিশ্চয়তা প্রদানকে মৌলিক অধিকার হিসেবে স্বীকার করে নিয়ে তার দায়িত্ব রাষ্ট্রের নেওয়া,বাংলাদেশের কমিউনিস্ট পার্টি,,Amendment,No,,Nazmul,,দ্বিতীয় ভাগ (রাষ্ট্র পরিচালনার মূলনীতি)
অনুচ্ছেদ ১৫ (মৌলিক প্রয়োজনের ব্যবস্থা),,"সংবিধানের ১৫ অনুচ্ছেদে এখনও লেখা আছে দেশের অর্থনীতি হবে পরিকল্পিত অর্থনীতি, কিন্তু চলছে মুক্তবাজারী উদারনীতিবাদী অর্থনীতি",বাংলাদেশের সমাজতান্ত্রিক দল (বাসদ),,Amendment,No,,Nazmul,,দ্বিতীয় ভাগ (রাষ্ট্র পরিচালনার মূলনীতি)
অনুচ্ছেদ ১৫ (মৌলিক প্রয়োজনের ব্যবস্থা),,"বাংলাদেশের সংবিধানে প্রতিবন্ধী ব্যক্তিদের অধিকার আরও শক্তিশালী করতে অনুচ্ছেদ ১৫ এবং ২৮(১) - এ বিশেষ বিধান সংযোজন করা হবে। এসব ব্যক্তির শিক্ষা, কর্মসংস্থান, স্বাস্থ্যসেবা এবং সামাজিক সুরক্ষা নিশ্চিত করতে বিশেষ ব্যবস্থা নেওয়া হবে। এছাড়া, প্রতিবন্ধী ব্যক্তিদের জন্য উন্নত সামাজিক পরিবেশ ও আইনগত সুরক্ষা প্রদান করতে নতুন নীতিমালা প্রবর্তন করা হবে।",বাংলাদেশ জাতীয় পার্টি (বিজেপি),,Amendment,No,,Nazmul,,দ্বিতীয় ভাগ (রাষ্ট্র পরিচালনার মূলনীতি)
অনুচ্ছেদ ১৫ (মৌলিক প্রয়োজনের ব্যবস্থা),,"রাষ্ট্রের অন্যতম মৌলিক দায়িত্ব হইবে পরিকল্পিত অর্থনৈতিক বিকাশের মাধ্যমে উৎপাদনশক্তির ক্রমবৃদ্ধিসাধন এবং জনগণের জীবনযাত্রার বস্তুগত ও সংস্কৃতিগত মানের দৃঢ় উন্নতিসাধন, যাহাতে নাগরিকদের জন্য নিম্নলিখিত বিষয়সমূহ অর্জন নিশ্চি করা যায়: (ক) সকলের জন্য বিনা খরচে শিক্ষা ও চিকিৎসার ব্যবস্থা করা; (খ) কর্মের অধিকার, অর্থাৎ কর্মের গুণ ও পরিমাণ বিবেচনা করিয়া মর্যাদাপূর্ণ মজুরির বিনিময়ে কর্মসংস্থানের নিশ্চয়তার অধিকার; (গ) যুক্তিসঙ্গত বিশ্রাম বিনোদন ও অবকাশের অধিকার এবং (ঘ) সামাজিক নিরাপত্তার অধিকার, অর্থাৎ বেকারত্ব, ব্যাধি বা পঙ্গুত্বজনিত কিংবা বৈধব্য, মাতৃপিতৃহীনতা বা বার্ধক্যজনিত কিংবা অনুরূপ অন্যান্য পরিস্থিতিজনিত আয়ত্তাতীত কারণে অভাবগ্রস্ততার ক্ষেত্রে অন্ন, বস্ত্র ও বাসস্থানের সরকারি সাহায্যলাভের অধিকার।",রাষ্ট্র সংস্কার আন্দোলন,,Amendment,No,,Nazmul,,দ্বিতীয় ভাগ (রাষ্ট্র পরিচালনার মূলনীতি)
অনুচ্ছেদ ১৬ (গ্রামীণ উন্নয়ন ও কৃষি বিপ্লব),"১৬। নগর ও গ্রামাঞ্চলের জীবন যাত্রার মানের বৈষম্য ক্রমাগতভাবে দূর করিবার উদ্দেশ্যে কৃষিবিপ্লবের বিকাশ, গ্রামাঞ্চলে বৈদ্যুতীকরণের ব্যবস্থা, কুটিরশিল্প ও অন্যান্য শিল্পের বিকাশ এবং শিক্ষা, যোগাযোগ - ব্যবস্থা ও জনস্বাস্থ্যের উন্নয়নের মাধ্যমে গ্রামাঞ্চলের আমূল রূপান্তরসাধনের জন্য রাষ্ট্র কার্যকর ব্যবস্থা গ্রহণ করিবেন।",কৃষকরা যাতে উৎপাদিত পণ্যের যথাযথ মূল্য পায় তা নিশ্চিত করতে প্রয়োজনীয় পদক্ষেপ নিতে হবে,গণতান্ত্রিক বিপ্লবী পার্টি,,Amendment,No,,Nazmul,"কমিশন সুপারিশ করছে যে, বিদ্যমান সংবিধানের অনুচ্ছেদ ১৩ (মালিকানার নীতি), ১৫ (মৌলিক প্রয়োজনের ব্যবস্থা), ১৭ (অবতৈনিক ও বাধ্যতামূলক শিক্ষা), ১৮ (জনস্বাস্থ্য ও নৈতিকতা), ১৮ক (পরিবেশ ও জীববৈচিত্র্য সংরক্ষণ এবং উন্নয়ন), ১৯ (সুযোগের সমতা), ২০ (অধিকার ও কর্তব্যরূপে কর্ম), ২৩ (জাতীয় সংস্কৃতি), ২৩ক (উপজাতি, ক্ষুদ্র জাতিসত্তা, নৃ - গোষ্ঠী ও সম্প্রদায়ের সংস্কৃতি) এবং ২৪ (জাতীয় স্মৃতিনিদর্শন প্রভৃতি) বিলুপ্ত করা হোক। এই বিধানগুলো প্রস্তাবিত ‘মৌলিক অধিকার ও স্বাধীনতা' শিরোনামের অধীনে বলবৎযোগ্য অধিকার হিসেবে অন্তর্ভুক্ত করা হয়েছে। উপরোক্ত সুপারিশের পরিপ্রেক্ষিতে সংবিধানের দ্বিতীয় ভাগের অনুচ্ছেদ ১১, ১৪, ১৬, ২১, ২২ ও ২৫ তাদের বর্তমান রূপে সংবিধানের পুনর্বিন্যস্ত প্রথম ভাগে অন্তর্ভুক্ত করার সুপারিশ করা হলো।",দ্বিতীয় ভাগ (রাষ্ট্র পরিচালনার মূলনীতি)
অনুচ্ছেদ ১৬ (গ্রামীণ উন্নয়ন ও কৃষি বিপ্লব),,"শিল্পায়নের ক্ষেত্রে সস্তা শ্রম ও বিদেশি বাজারের উপর নির্ভরশীল শিল্পের বিকাশের উপর নির্ভর হলে চলবে না। অর্থনীতির শক্তিশালী ভিত্তি প্রতিষ্ঠার জন্য দেশে যন্ত্রশিল্পের বিকাশের প্রশ্নে মনোযোগী হতে হবে, যা দেশীয় অভ্যন্তরীণ বাজারকে সম্প্রসারিত করবে।",গণতান্ত্রিক বিপ্লবী পার্টি,,Amendment,No,,Nazmul,,দ্বিতীয় ভাগ (রাষ্ট্র পরিচালনার মূলনীতি)
অনুচ্ছেদ ১৬ (গ্রামীণ উন্নয়ন ও কৃষি বিপ্লব),,কৃষক ও শ্রমিককে উৎপাদক শ্রেণী হিসেবে নির্ধারণ করে তাদের সাংবিধানিকভাবে সামাজি অধিকার নিশ্চিত করতে হবে।,গণতান্ত্রিক বিপ্লবী পার্টি,,Amendment,No,,Nazmul,,দ্বিতীয় ভাগ (রাষ্ট্র পরিচালনার মূলনীতি)
অনুচ্ছেদ ১৬ (গ্রামীণ উন্নয়ন ও কৃষি বিপ্লব),,পরিবেশ উপযোগী কৃষি ব্যবস্থা প্রণয়ন করতে হবে। আমুল ভূমি সংস্কারের বিধান সাংবিধানিকভাবে নিশ্চিত করতে হবে।,গণতান্ত্রিক বিপ্লবী পার্টি,,Amendment,No,,Nazmul,,দ্বিতীয় ভাগ (রাষ্ট্র পরিচালনার মূলনীতি)
অনুচ্ছেদ ১৭ (অবৈতনিক ও বাধ্যতামূলক শিক্ষা),১৭৷ রাষ্ট্র (ক) একই পদ্ধতির গণমুখী ও সার্বজনীন শিক্ষাব্যবস্থা প্রতিষ্ঠার জন্য এবং আইনের দ্বারা নির্ধারিত স্তর পর্যন্ত সকল বালক - বালিকাকে অবৈতনিক ও বাধ্যতামূলক শিক্ষাদানের জন্য; (খ) সমাজের প্রয়োজনের সহিত শিক্ষাকে সঙ্গতিপূর্ণ করিবার জন্য এবং সেই প্রয়োজন সিদ্ধ করিবার উদ্দেশ্যে যথাযথ প্রশিক্ষণপ্রাপ্ত ও সদিচ্ছাপ্রণোদিত নাগরিক সৃষ্টির জন্য; (গ) আইনের দ্বারা নির্ধারিত সময়ের মধ্যে নিরক্ষরতা দূর করিবার জন্য কার্যকর ব্যবস্থা গ্রহণ করিবেন৷,"(ক) (খ) ও (গ) দফার সাথে আরো দফা সংযুক্ত করত: রাষ্ট্র কর্তৃক বিনামূল্যে বিজ্ঞানভিত্তিক একমূখী শিক্ষা ব্যবস্থা চালু করতে হবে এবং শিক্ষা বাণিজ্য নিষিদ্ধ করতে হবে, মর্মে সংবিধান যুক্ত করতে হবে।",বাংলাদেশের সমাজতান্ত্রিক পার্টি (বিএসপি),,Amendment,No,,Nazmul,"কমিশন সুপারিশ করছে যে, বিদ্যমান সংবিধানের অনুচ্ছেদ ১৩ (মালিকানার নীতি), ১৫ (মৌলিক প্রয়োজনের ব্যবস্থা), ১৭ (অবতৈনিক ও বাধ্যতামূলক শিক্ষা), ১৮ (জনস্বাস্থ্য ও নৈতিকতা), ১৮ক (পরিবেশ ও জীববৈচিত্র্য সংরক্ষণ এবং উন্নয়ন), ১৯ (সুযোগের সমতা), ২০ (অধিকার ও কর্তব্যরূপে কর্ম), ২৩ (জাতীয় সংস্কৃতি), ২৩ক (উপজাতি, ক্ষুদ্র জাতিসত্তা, নৃ - গোষ্ঠী ও সম্প্রদায়ের সংস্কৃতি) এবং ২৪ (জাতীয় স্মৃতিনিদর্শন প্রভৃতি) বিলুপ্ত করা হোক। এই বিধানগুলো প্রস্তাবিত ‘মৌলিক অধিকার ও স্বাধীনতা' শিরোনামের অধীনে বলবৎযোগ্য অধিকার হিসেবে অন্তর্ভুক্ত করা হয়েছে। উপরোক্ত সুপারিশের পরিপ্রেক্ষিতে সংবিধানের দ্বিতীয় ভাগের অনুচ্ছেদ ১১, ১৪, ১৬, ২১, ২২ ও ২৫ তাদের বর্তমান রূপে সংবিধানের পুনর্বিন্যস্ত প্রথম ভাগে অন্তর্ভুক্ত করার সুপারিশ করা হলো। - - - - - মৌলিক অধিকার ও স্বাধীনতা ১৯. কমিশন সুপারিশ করছে যে, শিক্ষার অধিকারকে বলবৎযোগ্য সাংবিধানিক অধিকার হিসেবে ঘোষণা করা হোক। রাষ্ট্রকে অবশ্যই আইন দ্বারা নির্ধারিত পর্যায় পর্যন্ত সকলের জন্য অবৈতনিক ও বাধ্যতামূলক শিক্ষা নিশ্চিত করতে হবে। এ ছাড়া ব্যক্তিগত যোগ্যতার ভিত্তিতে উচ্চশিক্ষার সুযোগ এবং বিশেষভাবে সক্ষম শিশুদের জন্য অন্তর্ভুক্তিমূলক শিক্ষার ব্যবস্থা করতে হবে, যাতে শিক্ষা সবার জন্য সমান সুযোগ সৃষ্টি করে।",দ্বিতীয় ভাগ (রাষ্ট্র পরিচালনার মূলনীতি)
অনুচ্ছেদ ১৭ (অবৈতনিক ও বাধ্যতামূলক শিক্ষা),,"১৭(ক) অনুচ্ছেদে লেখা আছে আইনের দ্বারা একটি নির্দিষ্ট স্তর পর্যন্ত সর্বজনীন, বৈষম্যহীন, একমুখী অবৈতনিক বাধ্যতামূলক শিক্ষা এবং একই পদ্ধতির শিক্ষা ব্যবস্থা থাকবে। কিন্তু মানা হচ্ছে না। বাস্তবে বর্তমানে প্রধানত ৩ ধারার যথা - সাধারণ শিক্ষা, কিন্ডার গার্ডেন (ইংলিশ মিডিয়াম, ইংলিশ ভার্সন) মাদ্রাসা শিক্ষা এবং প্রাথমিকে ১৩ ধারার শিক্ষা চালু আছে।",বাংলাদেশের সমাজতান্ত্রিক দল (বাসদ),,Amendment,No,,Nazmul,,দ্বিতীয় ভাগ (রাষ্ট্র পরিচালনার মূলনীতি)
অনুচ্ছেদ ১৭ (অবৈতনিক ও বাধ্যতামূলক শিক্ষা),,রাষ্ট্র (ক) গণমুখী ও সর্বজনীন শিক্ষাব্যবস্থা প্রতিষ্ঠার জন্য শিক্ষাজীবনের প্রথম বারো বৎসর পর্যন্ত সকল বালক - বাণিজার জন্য অবৈধতনিক ও বাধ্যতামূলক শিক্ষা ব্যবস্থা প্রবর্তন করিবে (খ) সমাজের প্রয়োজনের সহিত শিক্ষাকে সঙ্গতিপূর্ণ করিবার জন্য এবং সেই প্রয়োজন সিদ্ধ করিবার উদ্দেশ্যে যথাযথ প্রশিক্ষণপ্রাপ্ত ও সদিচ্ছাপ্রণোদিত নাগরিক সৃষ্টির জন্য আইনের দ্বারা নির্ধারিত সময়ের মধ্যে নিরক্ষতা দূর করিবার জন্য কার্যকর ব্যবস্থা গ্রহণ করিবে।,রাষ্ট্র সংস্কার আন্দোলন,,Amendment,No,,Nazmul,,দ্বিতীয় ভাগ (রাষ্ট্র পরিচালনার মূলনীতি)
অনুচ্ছেদ ১৭ (অবৈতনিক ও বাধ্যতামূলক শিক্ষা),,১৭| রাষ্ট্র (ক) একই পদ্ধতির গণমুখী ও সার্বজনীন শিক্ষাব্যবস্থা প্রতিষ্ঠার জন্য এবং আইনের দ্বারা নির্ধারিত স্তর পর্যন্ত সকল বালক - বালিকাকে অবৈতনিক ও বাধ্যতামূলক ধর্মীয় ও নৈতিকতাবোধ সম্পন্ন যোগ্য নাগরিক হিসাবে গড়ে তোলার শিক্ষাদানের জন্য; (খ) সমাজের প্রয়োজনের সহিত শিক্ষাকে সঙ্গতিপূর্ণ করিবার জন্য এবং সেই প্রয়োজন সিদ্ধ করিবার উদ্দেশ্যে যথাযথ প্রশিক্ষণপ্রাপ্ত ও সদিচ্ছাপ্রণোদিত নাগরিক সৃষ্টির জন্য; (গ) আইনের দ্বারা নির্ধারিত সময়ের মধ্যে নিরক্ষরতা দূর করিবার জন্য (ঘ) সকল নাগরিককে দেশাত্নবোধ ও সুনীতিবান হিসেবে গড়িয়া তুলিবার জন্য কার্যকর ব্যবস্থা গ্রহণ করিবেন।,খেলাফত মজলিস,,Amendment,No,,Nazmul,,দ্বিতীয় ভাগ (রাষ্ট্র পরিচালনার মূলনীতি)
